"candidate_term","candidate_token","neighbor_count","seed_count","seed_terms","concept_groups","query_statuses","best_rank","max_similarity","mean_similarity","review_decision","include_v2","review_notes","review_priority","suggested_review_group","auto_screen_confidence","auto_screen_reason"
"cainet","cainet","6","13","AI application;AI integration;AI model;AI models;AI skills;AI tool;Generative AI models;Generative AI technologies;LLM;generative artificial intelligence;large language model;reinforcement learning;supervised learning","ai_activity;ai_methods;ai_technology;ai_workforce;gen_ai","exact_key","16","0.720288","0.678224","accept","1","auto_screen_confidence=medium; auto_screen_reason=strong_word2vec_support_needs_domain_review | manual_review=accept_user_list","1","maybe_1_strong_multi_seed_support","medium","strong_word2vec_support_needs_domain_review"
"dlrm","dlrm","8","12","AI model;AI models;GPT-3;GPT-4;Generative AI models;LLM;deep learning;large language model;neural network;neural networks;reinforcement learning;supervised learning","ai_methods;ai_technology;core_ai;gen_ai","exact_key","5","0.751007","0.708565","accept","1","auto_screen_confidence=medium; auto_screen_reason=strong_word2vec_support_needs_domain_review | manual_review=accept_user_list","1","maybe_1_strong_multi_seed_support","medium","strong_word2vec_support_needs_domain_review"
"domain-specific","domain-specific","482","11","AI application;AI applications;AI models;AI skills;AI solutions;Generative AI;LLM;LLMs;large language model;large language models;neural networks","ai_activity;ai_technology;ai_workforce;core_ai;gen_ai","exact_key","19","0.721814","0.693930","reject","0","auto_screen_confidence=medium; auto_screen_reason=strong_word2vec_support_needs_domain_review | manual_review=reject_user_list","1","maybe_1_strong_multi_seed_support","medium","strong_word2vec_support_needs_domain_review"
"hypermodal","hypermodal","5","9","AI adoption;AI exposure;AI implementation;AI investment;AI investments;AI solutions;Generative AI;Generative AI models;Generative AI technologies","ai_activity;ai_exposure;gen_ai","exact_key","19","0.701570","0.622759","accept","1","auto_screen_confidence=medium; auto_screen_reason=strong_word2vec_support_needs_domain_review | manual_review=accept_user_list","1","maybe_1_strong_multi_seed_support","medium","strong_word2vec_support_needs_domain_review"
"fiverr neo","fiverr_neo","17","8","AI skills;ChatGPT;GPT-4;Generative AI;Generative AI models;Generative AI technologies;Generative AI technology;Generative AI tools","ai_workforce;gen_ai","exact_key","27","0.711854","0.672261","accept","1","auto_screen_confidence=medium; auto_screen_reason=strong_word2vec_support_needs_domain_review | manual_review=accept_user_list","1","maybe_1_strong_multi_seed_support","medium","strong_word2vec_support_needs_domain_review"
"deepsearch","deepsearch","6","8","AI application;AI integration;AI model;AI technology;Generative AI models;Generative AI technologies;NLP;image recognition","ai_activity;ai_methods;ai_technology;gen_ai","exact_key","11","0.704020","0.665332","accept","1","auto_screen_confidence=medium; auto_screen_reason=strong_word2vec_support_needs_domain_review | manual_review=accept_user_list","1","maybe_1_strong_multi_seed_support","medium","strong_word2vec_support_needs_domain_review"
"convolutional","convolutional","41","7","computer vision;deep learning;image recognition;neural network;neural networks;reinforcement learning;supervised learning","ai_methods;core_ai","exact_key","6","0.756403","0.703089","accept","1","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=accept_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
"inference-based","inference-based","9","7","AI applications;AI investments;AI models;Generative AI models;deep learning;neural networks;supervised learning","ai_activity;ai_methods;ai_technology;core_ai;gen_ai","exact_key","14","0.718267","0.680559","accept","1","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=accept_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
"sec-palm","sec-palm","6","7","AI analyst;AI skills;AI tool;Generative AI models;LLM;LLMs;supervised learning","ai_applications;ai_methods;ai_technology;ai_workforce;gen_ai","exact_key","18","0.701772","0.681028","accept","1","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=accept_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
"few-shot","few-shot","9","5","AI model;AI skills;AI tool;reinforcement learning;supervised learning","ai_methods;ai_technology;ai_workforce","exact_key","4","0.728705","0.683692","accept","1","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=accept_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
