reference_id,priority,ai_relevance,filename,short_citation,usage_note
AI01,high,core_ai,"Babina&Fedyk&He&Hodson(2024 JFE)_Artificial intelligence, firm growth, and product innovation.pdf","Babina et al. 2024 JFE","Core source for artificial intelligence, AI investments, firm growth, and product innovation language"
AI02,high,core_ai,"Online Appendix for Babina&Fedyk&He&Hodson(2024 JFE)_Artificial intelligence, firm growth, and product innovation.pdf","Babina et al. 2024 Online Appendix","Useful for AI investment measurement language and AI job/resume terminology"
AI03,high,ai_workforce,"Babina&Fedyk&He&Hodson(2024 NBER WP)_Firm Investments in Artificial Intelligence Technologies and Changes in Workforce Composition.pdf","Babina et al. 2024 NBER","Useful for AI technologies, AI investments, and workforce-composition language"
AI04,high,systematic_risk,"Babina&Fedyk&He&Hodson(2024 WP)_Artificial Intelligence and Firms’ Systematic Risk.pdf","Babina et al. 2024 WP","Useful for firm-level AI exposure and risk language"
AI05,high,ai_finance,"Eisfeldt&Schubert(2024 NBER)_AI and Finance.pdf","Eisfeldt and Schubert 2024","Useful for finance-sector AI language"
AI06,high,generative_ai,"Eisfeldt&Schubert&Zhang(2023 NBER)_Generative AI and Firm Values.pdf","Eisfeldt et al. 2023","Core source for generative AI language"
AI07,high,chatgpt_genai,"Jha&Qian&Weber&Yang(2024a WP)_ChatGPT and Corporate Policies.pdf","Jha et al. 2024a","Core source for ChatGPT and corporate-policy GenAI language"
AI08,high,genai_text,"Jha&Qian&Weber&Yang(2024b WP)_Harnessing Generative AI for Economic Insights.pdf","Jha et al. 2024b","Useful for generative AI and LLM-style text analysis language"
AI09,medium,genai_asset_management,"Sheng&Sun&Yang&Zhang(2024 WP)_Generative AI and Asset Management.pdf","Sheng et al. 2024","Useful for generative AI in asset management language"
AI10,medium,genai_culture,"Li&Mai&Shen&Yang&Zhang(2024 WP)_Dissecting Corporate Culture Using Generative AI.pdf","Li et al. 2024","Useful for generative AI and text/culture analysis language"
AI11,medium,ai_labor,"Grennan&Michaely(2020 WP)_AI and High-Skilled Work_Evidence from Analysts.pdf","Grennan and Michaely 2020","Useful for AI and high-skilled work language"
AI12,medium,ai_audit,"Fedyk&Hodson&Khimich&Fedyk(2022 RAS)_Is artificial intelligence improving the audit process.pdf","Fedyk et al. 2022","Useful for AI in auditing and professional services language"
AI13,medium,ai_visual_information,"Cao&Cheng&Wang&Xia&Yang(2024 WP)_Visual Information and AI Divide Evidence from Corporate Executive Presentations.pdf","Cao et al. 2024","Useful for visual information, AI divide, and corporate presentation language"
AI14,medium,ai_stock_analysis,"Cao&Jiang&Wang&Yang(2024 JFE)_From Man vs. Machine to Man + Machine_The Art and AI of Stock Analyses.pdf","Cao et al. 2024 JFE","Useful for AI in stock analysis and human-machine complementarity language"
AI15,medium,ai_narrative,"Bandyopadhyay&Mai&Pukthuanthong(2023 WP)_AI Narrative and Stock Mispricing.pdf","Bandyopadhyay et al. 2023","Useful for AI narrative language"
AI16,medium,ai_prediction,"Agrawal et al.(2019 JEP)_Artificial Intelligence_The Ambiguous Labor Market Impact of Automating Prediction.pdf","Agrawal et al. 2019","Useful for AI-as-prediction and prediction technology language"
AI17,medium,ai_innovation,"Cockburn et al.(2018 WP)_The Impact of AI on Innovation.pdf","Cockburn et al. 2018","Useful for AI innovation and technology-category language"
AI18,medium,machine_learning,"Lu&Spiegel&Zhang(2024 WP)_Machine Learning as Arbitrage_Can Economics Help Explain AI.pdf","Lu et al. 2024","Useful for machine learning and AI explanation language"
AI19,medium,automated_underwriting,"Jansen&Nguyen&Shams(2024f MS)_Rise of the Machines_The Impact of Automated Underwriting.pdf","Jansen et al. 2024","Useful for automated underwriting and machine decision language"
AI20,low,chatgpt_finance,"Lopez-Lira&Tang(2024 WP)_Can ChatGPT Forecast Stock Price Movements.pdf","Lopez-Lira and Tang 2024","Useful for ChatGPT finance language"
