round,sample_type,period_or_case,rows
round01,hard_case,standalone_ai,100
round01,hard_case,weak_or_noisy_terms,100
round01,likely_ai,2001-2015,100
round01,likely_ai,2016-2020,100
round01,likely_ai,2021-2022,100
round01,likely_ai,2023-2024,100
round01,random,2001-2015,100
round01,random,2016-2020,100
round01,random,2021-2022,100
round01,random,2023-2024,100
round01,frame_all,2001-2015,14263
round01,frame_all,2016-2020,83315
round01,frame_all,2021-2022,57593
round01,frame_all,2023-2024,110434
round01,frame_standalone_ai,2001-2015,2308
round01,frame_standalone_ai,2016-2020,30650
round01,frame_standalone_ai,2021-2022,27652
round01,frame_standalone_ai,2023-2024,61941
round01,frame_strong_ai,2001-2015,1858
round01,frame_strong_ai,2016-2020,32642
round01,frame_strong_ai,2021-2022,17197
round01,frame_strong_ai,2023-2024,35824
round01,frame_weak_or_noisy,2001-2015,1734
round01,frame_weak_or_noisy,2016-2020,4869
round01,frame_weak_or_noisy,2021-2022,3033
round01,frame_weak_or_noisy,2023-2024,1938
