id,round,sample_type,period_or_case,why_sampled,ai_label,confidence,false_positive,needs_review,notes,year,quarter,company,ticker,date,section,speaker,terms,matched_text,concept_group,priority,sentence,prev_sentence,next_sentence,context_window,candidate_id,document_id,event_id,sentence_id,source_csv,xml_path,term_count,match_count
R01-0001,round01,likely_ai,2021-2022,strong AI term matched; enrich likely positive examples,,,,,,2021,3,R1 RCM Inc,RCM.OQ,2021-09-09,qa,"Joseph Gerard Flanagan, R1 RCM Inc. - President, CEO &amp; Director",machine learning,machine learning,core_ai,high,"As we evolve, whether it be autonomous coding, whether it be machine learning, whether it be more advanced techniques, those are still at our disposal and still have yet to be dimension kind of converted, et cetera.",What I mean by that is we're still using basic automation techniques to automate the low-hanging fruit.,So we see a long runway here.,"What I mean by that is we're still using basic automation techniques to automate the low-hanging fruit. [SEP] As we evolve, whether it be autonomous coding, whether it be machine learning, whether it be more advanced techniques, those are still at our disposal and still have yet to be dimension kind of converted, et cetera. [SEP] So we see a long runway here.",14976616__14976616_qa_00125,14976616,14976616,14976616_qa_00125,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2021\transcript_sentences.csv,Data_Conference call transcripts\2021\14976616_T.xml,1,1
R01-0002,round01,random,2001-2015,period-stratified random draw from full Stage 05 candidate pool,,,,,,2015,2,GPT Group,GPT.AX,2015-05-05,presentation,"Rob Ferguson, GPT Group - Chairman",GPT,GPT,gen_ai,medium,"The plan is further bolstered by ensuring any benefits awarded are delivered in GPT securities, thereby aligning executive and securityholder interests.","The key performance measures, total return and relative total securityholder return, are calculated with regard to the performance of relevant peers from the Australian real estate investment trust sector.","In 2014, the Board approved the introduction of a minimum securityholder requirement for the CEO and Managing Director, the leadership team and Board members.","The key performance measures, total return and relative total securityholder return, are calculated with regard to the performance of relevant peers from the Australian real estate investment trust sector. [SEP] The plan is further bolstered by ensuring any benefits awarded are delivered in GPT securities, thereby aligning executive and securityholder interests. [SEP] In 2014, the Board approved the introduction of a minimum securityholder requirement for the CEO and Managing Director, the leadership team and Board members.",5643975__5643975_presentation_00046,5643975,5643975,5643975_presentation_00046,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2015\transcript_sentences.csv,Data_Conference call transcripts\2015\5643975_T.xml,1,1
R01-0003,round01,random,2023-2024,period-stratified random draw from full Stage 05 candidate pool,,,,,,2023,2,Advantech Co Ltd,2395.TW,2023-05-03,qa,"Eric Chen, Advantech Co., Ltd. - CEO &amp; President",AI,AI,core_ai,medium,This is non-used case for the AI.,The accuracy rate is ahead of human touch at 10%.,"Also, we are just trying to adapt ChatGPT to adapt as a presale's tools.","The accuracy rate is ahead of human touch at 10%. [SEP] This is non-used case for the AI. [SEP] Also, we are just trying to adapt ChatGPT to adapt as a presale's tools.",15461266__15461266_qa_00323,15461266,15461266,15461266_qa_00323,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2023\transcript_sentences.csv,Data_Conference call transcripts\2023\15461266_T.xml,1,1
R01-0004,round01,random,2016-2020,period-stratified random draw from full Stage 05 candidate pool,,,,,,2017,4,Origin Energy Ltd,ORG.AX,2017-11-27,presentation,"Mark Schubert, Origin Energy Limited - Executive General Manager of Integrated Gas",machine learning,machine learning,core_ai,high,"And we've actually taken almost 300 inputs, arranged all that data and now, we have machine learning that tells the engineers when that pump will fail, and when it does fail, what would be the best type of pump to put back in.","And so we're taking what you -- at the moment, engineers would try and do regressing lots and lots of data.",And so it's just where we are at the moment where the engineers are challenging what they might have done versus what the machine is doing.,"And so we're taking what you -- at the moment, engineers would try and do regressing lots and lots of data. [SEP] And we've actually taken almost 300 inputs, arranged all that data and now, we have machine learning that tells the engineers when that pump will fail, and when it does fail, what would be the best type of pump to put back in. [SEP] And so it's just where we are at the moment where the engineers are challenging what they might have done versus what the machine is doing.",11107414__11107414_presentation_00489,11107414,11107414,11107414_presentation_00489,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2017\transcript_sentences.csv,Data_Conference call transcripts\2017\11107414_T.xml,1,1
R01-0005,round01,random,2023-2024,period-stratified random draw from full Stage 05 candidate pool,,,,,,2023,1,Wolters Kluwer NV,WLSNc.AS,2023-02-22,qa,"Nancy McKinstry, Wolters Kluwer N.V. - CEO &amp; Chairman of the Executive Board",AI,AI,core_ai,medium,"About 40%, 50% of our products use AI today and then that capability is embedded.",But we really see this very much as an evolutionary step in AI.,"And so, we just see this as sort of a next step there.","But we really see this very much as an evolutionary step in AI. [SEP] About 40%, 50% of our products use AI today and then that capability is embedded. [SEP] And so, we just see this as sort of a next step there.",15456652__15456652_qa_00383,15456652,15456652,15456652_qa_00383,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2023\transcript_sentences.csv,Data_Conference call transcripts\2023\15456652_T.xml,1,1
R01-0006,round01,likely_ai,2021-2022,strong AI term matched; enrich likely positive examples,,,,,,2021,2,NVIDIA Corp,NVDA.OQ,2021-05-26,qa,"Jen-Hsun Huang, NVIDIA Corporation - Co-Founder, CEO, President &amp; Director",ai-powered,AI-powered,ai_activity;ai_methods;ai_technology;core_ai;gen_ai,medium,We partner with cloud and consumer Internet companies to scale out and commercialize AI-powered services.,"Third, AI is the most powerful technology force of our time.",And we're democratizing AI for every enterprise and every industry.,"Third, AI is the most powerful technology force of our time. [SEP] We partner with cloud and consumer Internet companies to scale out and commercialize AI-powered services. [SEP] And we're democratizing AI for every enterprise and every industry.",14666011__14666011_qa_00435,14666011,14666011,14666011_qa_00435,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2021\transcript_sentences.csv,Data_Conference call transcripts\2021\14666011_T.xml,1,1
R01-0007,round01,likely_ai,2023-2024,strong AI term matched; enrich likely positive examples,,,,,,2023,4,Jefferies Financial Group Inc,JEF.N,2023-10-16,qa,Unidentified Company Representative,Generative AI,generative AI,gen_ai,high,Please address generative AI as to how you see it being integrated into research and consulting and services at Jefferies?,"Question from Rick Newell, who was a former employee.",The broader idea of AI on an institutional strength level is very much integrated.,"Question from Rick Newell, who was a former employee. [SEP] Please address generative AI as to how you see it being integrated into research and consulting and services at Jefferies? [SEP] The broader idea of AI on an institutional strength level is very much integrated.",15714338__15714338_qa_00771,15714338,15714338,15714338_qa_00771,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2023\transcript_sentences.csv,Data_Conference call transcripts\2023\15714338_T.xml,1,1
R01-0008,round01,random,2021-2022,period-stratified random draw from full Stage 05 candidate pool,,,,,,2022,2,Anthem Inc,ANTM.N,2022-04-20,presentation,"Gail Koziara Boudreaux, Anthem, Inc. - President, CEO &amp; Director",AI,AI,core_ai,medium,"Less than 2 years ago, we implemented live chat and AI messaging capabilities for our consumers and care providers to provide more choice and convenience.","Adoption of our digital tools, combined with strong and rising customer satisfaction surveys, suggests that our consumers and care providers are finding value in our digital channels.","Today, chat is our best-performing channel for issue resolution and consumer experience metrics.","Adoption of our digital tools, combined with strong and rising customer satisfaction surveys, suggests that our consumers and care providers are finding value in our digital channels. [SEP] Less than 2 years ago, we implemented live chat and AI messaging capabilities for our consumers and care providers to provide more choice and convenience. [SEP] Today, chat is our best-performing channel for issue resolution and consumer experience metrics.",15173092__15173092_presentation_00065,15173092,15173092,15173092_presentation_00065,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2022\transcript_sentences.csv,Data_Conference call transcripts\2022\15173092_T.xml,1,1
R01-0009,round01,hard_case,standalone_ai,"standalone ""AI"" without stronger AI phrase; likely ambiguous/noisy",,,,,,2023,4,Tencent Holdings Ltd,0700.HK,2023-11-15,qa,"Chi Ping Lau, Tencent Holdings Limited - President",AI,AI,core_ai,medium,"And by going through the process right now, we have also built up a lot of our AI capability, which is not transformer-based, but can be applied in many of our other businesses.","Because Hunyuan, the transformer-based model include -- involves the handling of a large amount of data, large amount of training data, large size of computing cluster and a very dedicated fine-tuning process in terms of improving the AI performance.","So if you look at Hunyuan itself, right, right now, we see it very good at generating text messages.","Because Hunyuan, the transformer-based model include -- involves the handling of a large amount of data, large amount of training data, large size of computing cluster and a very dedicated fine-tuning process in terms of improving the AI performance. [SEP] And by going through the process right now, we have also built up a lot of our AI capability, which is not transformer-based, but can be applied in many of our other businesses. [SEP] So if you look at Hunyuan itself, right, right now, we see it very good at generating text messages.",15767719__15767719_qa_00211,15767719,15767719,15767719_qa_00211,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2023\transcript_sentences.csv,Data_Conference call transcripts\2023\15767719_T.xml,1,1
R01-0010,round01,hard_case,standalone_ai,"standalone ""AI"" without stronger AI phrase; likely ambiguous/noisy",,,,,,2023,1,Cadence Design Systems Inc,CDNS.OQ,2023-03-07,qa,"Anirudh Devgan, Cadence Design Systems, Inc. - CEO, President &amp; Director",AI,AI,core_ai,medium,"Yes, AI is -- it can be transformational.",And how you think it's going to -- how the opportunity of AI really impacts Cadence in the future?,"Of course, there's a lot of hype on AI.","And how you think it's going to -- how the opportunity of AI really impacts Cadence in the future? [SEP] Yes, AI is -- it can be transformational. [SEP] Of course, there's a lot of hype on AI.",15496673__15496673_qa_00163,15496673,15496673,15496673_qa_00163,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2023\transcript_sentences.csv,Data_Conference call transcripts\2023\15496673_T.xml,1,1
