concept_group,term,match_type,priority,include,reference_count,total_hit_count,reference_ids,reference_hit_counts,evidence_terms,notes
core_ai,artificial intelligence,phrase,high,1,16,334,AI01;AI02;AI04;AI05;AI06;AI07;AI08;AI09;AI10;AI11;AI12;AI13;AI14;AI15;AI16;AI17,AI01:1;AI02:2;AI04:28;AI05:7;AI06:6;AI07:1;AI08:2;AI09:4;AI10:2;AI11:1;AI12:43;AI13:10;AI14:14;AI15:17;AI16:168;AI17:28,Artificial intelligence,Literature-discovered umbrella expression
core_ai,AI,word_boundary,medium,1,1,1,AI13,AI13:1,AI,Literature-discovered acronym; use strict word-boundary matching
core_ai,artificial intelligence technologies,phrase,medium,1,5,6,AI04;AI06;AI09;AI15;AI16,AI04:2;AI06:1;AI09:1;AI15:1;AI16:1,artificial intelligence technologies,Literature-discovered expression for AI technology category
core_ai,artificial intelligence technology,phrase,medium,1,1,3,AI16,AI16:3,artificial intelligence technology,Singular version; less frequent than plural
core_ai,machine learning,phrase,high,1,16,96,AI01;AI02;AI03;AI04;AI05;AI06;AI07;AI09;AI10;AI12;AI13;AI14;AI15;AI16;AI17;AI18,AI01:11;AI02:7;AI03:6;AI04:7;AI05:5;AI06:3;AI07:1;AI09:5;AI10:1;AI12:12;AI13:4;AI14:14;AI15:1;AI16:11;AI17:2;AI18:6,machine learning,Literature-discovered canonical ML expression
core_ai,deep learning,phrase,high,1,11,27,AI01;AI02;AI03;AI04;AI05;AI06;AI09;AI12;AI13;AI16;AI17,AI01:3;AI02:1;AI03:1;AI04:1;AI05:5;AI06:1;AI09:2;AI12:2;AI13:1;AI16:2;AI17:8,deep learning,Literature-discovered canonical AI method
core_ai,neural network,phrase,high,1,5,9,AI02;AI03;AI05;AI06;AI15,AI02:2;AI03:4;AI05:1;AI06:1;AI15:1,Neural Network,Literature-discovered method expression
core_ai,neural networks,phrase,high,1,4,7,AI03;AI12;AI14;AI17,AI03:1;AI12:2;AI14:1;AI17:3,neural networks,Plural form discovered in references
ai_activity,AI investments,phrase,high,1,6,471,AI01;AI02;AI03;AI04;AI05;AI12,AI01:150;AI02:71;AI03:87;AI04:133;AI05:1;AI12:29,AI investments,Major literature-discovered expression for firm AI investment
ai_activity,AI investment,phrase,medium,1,8,15,AI02;AI03;AI04;AI05;AI09;AI11;AI12;AI13,AI02:1;AI03:2;AI04:6;AI05:1;AI09:2;AI11:1;AI12:1;AI13:1,AI investment,Singular form discovered in references
