candidate_term,candidate_token,neighbor_count,seed_count,seed_terms,concept_groups,query_statuses,best_rank,max_similarity,mean_similarity,review_decision,include_v2,review_notes
gen ai,gen_ai,2739,26,AI adoption;AI application;AI applications;AI capabilities;AI investment;AI investments;AI models;AI skills;AI solutions;AI technologies;AI technology;AI tools;ChatGPT;GPT-4;Generative AI;Generative AI technologies;Generative AI technology;Generative AI tools;LLM;LLMs;NLP;artificial intelligence;generative artificial intelligence;large language model;large language models;robotic process automation,ai_activity;ai_methods;ai_technology;ai_workforce;automation_robotics;core_ai;gen_ai,exact_key,1,0.938148,0.711501,,,
ai ml,ai_ml,1542,25,AI application;AI applications;AI capabilities;AI investments;AI models;AI solutions;AI technologies;AI technology;AI tools;Generative AI;Generative AI technologies;LLM;LLMs;NLP;artificial intelligence;artificial intelligence technologies;computer vision;deep learning;generative artificial intelligence;large language model;large language models;machine learning;natural language processing;neural networks;robotic process automation,ai_activity;ai_methods;ai_technology;automation_robotics;core_ai;gen_ai,exact_key,4,0.839201,0.722629,,,
genai,genai,1624,23,AI adoption;AI application;AI capabilities;AI investment;AI investments;AI models;AI solutions;AI technologies;AI tools;ChatGPT;GPT-3;GPT-4;Generative AI;Generative AI models;Generative AI technologies;Generative AI technology;Generative AI tools;LLM;LLMs;generative artificial intelligence;large language model;large language models;robotic process automation,ai_activity;ai_technology;automation_robotics;gen_ai,exact_key,3,0.906906,0.697901,,,
recommender systems,recommender_systems,140,21,AI applications;AI investment;AI investments;AI model;AI models;AI technologies;ChatGPT;GPT-3;Generative AI;Generative AI models;LLMs;NLP;artificial intelligence;deep learning;generative artificial intelligence;image recognition;large language model;large language models;natural language processing;neural networks;reinforcement learning,ai_activity;ai_methods;ai_technology;core_ai;gen_ai,exact_key,12,0.778512,0.681469,,,
ai-based,ai-based,2295,20,AI application;AI capabilities;AI integration;AI model;AI solutions;AI technologies;AI technology;AI tool;AI tools;NLP;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;computer vision;deep learning;generative artificial intelligence;image recognition;machine learning;natural language processing;reinforcement learning,ai_activity;ai_methods;ai_technology;core_ai;gen_ai,exact_key,4,0.822826,0.720094,,,
artificial intelligence machine learning,artificial_intelligence_machine_learning,767,19,AI applications;AI capabilities;AI solutions;AI technologies;AI technology;AI tools;Generative AI;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;computer vision;deep learning;generative artificial intelligence;image recognition;large language models;machine learning;natural language processing;robotic process automation;robotics,ai_activity;ai_methods;ai_technology;automation_robotics;core_ai;gen_ai,exact_key,2,0.902828,0.733897,,,
machine-learning,machine-learning,498,19,AI capabilities;AI model;AI models;AI solutions;AI technologies;AI technology;NLP;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;computer vision;deep learning;image recognition;large language model;machine learning;natural language processing;neural network;neural networks;reinforcement learning,ai_activity;ai_methods;ai_technology;core_ai;gen_ai,exact_key,2,0.866224,0.721781,,,
large-language models,large-language_models,15,19,AI model;AI models;AI skills;AI tool;AI tools;ChatGPT;GPT-3;Generative AI models;Generative AI technologies;Generative AI technology;Generative AI tools;LLM;LLMs;generative artificial intelligence;large language model;large language models;neural networks;reinforcement learning;supervised learning,ai_methods;ai_technology;ai_workforce;core_ai;gen_ai,exact_key,6,0.755986,0.687483,,,
ai-enabled,ai-enabled,1198,18,AI application;AI applications;AI capabilities;AI integration;AI solutions;AI technologies;AI technology;AI tool;AI tools;Generative AI technology;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;computer vision;generative artificial intelligence;machine learning;natural language processing;robotic process automation,ai_activity;ai_methods;ai_technology;automation_robotics;core_ai;gen_ai,exact_key,8,0.785959,0.707641,,,
gpt3,gpt3,7,18,AI model;AI models;ChatGPT;GPT-3;GPT-4;Generative AI;Generative AI models;Generative AI technologies;Generative AI tools;LLM;LLMs;NLP;large language model;large language models;neural network;neural networks;reinforcement learning;supervised learning,ai_methods;ai_technology;core_ai;gen_ai,exact_key,3,0.768703,0.709327,,,
deep learning-based,deep_learning-based,39,18,AI application;AI integration;AI model;AI technologies;AI technology;AI tool;NLP;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;computer vision;deep learning;generative artificial intelligence;image recognition;machine learning;natural language processing;neural network;reinforcement learning,ai_activity;ai_methods;ai_technology;core_ai;gen_ai,exact_key,3,0.755408,0.695066,,,
ai-powered,ai-powered,2339,17,AI capabilities;AI integration;AI model;AI solutions;AI technologies;AI technology;AI tool;AI tools;Generative AI;Generative AI technology;NLP;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;image recognition;machine learning;natural language processing,ai_activity;ai_methods;ai_technology;core_ai;gen_ai,exact_key,2,0.798902,0.708161,,,
pretrained models,pretrained_models,78,17,AI application;AI model;AI models;AI skills;ChatGPT;GPT-4;Generative AI models;Generative AI technologies;Generative AI tools;LLM;LLMs;deep learning;large language model;large language models;neural networks;reinforcement learning;supervised learning,ai_methods;ai_technology;ai_workforce;core_ai;gen_ai,exact_key,3,0.770889,0.702383,,,
chatgpts,chatgpts,13,17,AI adoption;AI investment;AI skills;ChatGPT;GPT-3;GPT-4;Generative AI;Generative AI models;Generative AI technologies;Generative AI technology;Generative AI tools;LLM;LLMs;generative artificial intelligence;large language model;large language models;supervised learning,ai_activity;ai_methods;ai_workforce;gen_ai,exact_key,8,0.737897,0.687734,,,
machine learning algorithms,machine_learning_algorithms,952,15,AI capabilities;AI model;AI models;AI technologies;AI technology;AI tools;artificial intelligence;computer vision;deep learning;image recognition;machine learning;natural language processing;neural network;neural networks;reinforcement learning,ai_activity;ai_methods;ai_technology;core_ai,exact_key,2,0.875958,0.743165,,,
chatgpt-4,chatgpt-4,13,15,AI investments;AI models;AI skills;ChatGPT;GPT-3;GPT-4;Generative AI;Generative AI models;Generative AI technologies;Generative AI technology;Generative AI tools;LLM;LLMs;large language model;large language models,ai_activity;ai_technology;ai_workforce;gen_ai,exact_key,12,0.739950,0.693073,,,
algorithms,algorithms,23714,14,AI capabilities;AI models;AI technologies;AI technology;AI tools;artificial intelligence;computer vision;deep learning;image recognition;machine learning;natural language processing;neural network;neural networks;reinforcement learning,ai_activity;ai_methods;ai_technology;core_ai,exact_key,10,0.838650,0.724210,,,
openai,openai,1011,13,AI investment;ChatGPT;GPT-3;GPT-4;Generative AI;Generative AI models;Generative AI technologies;Generative AI technology;Generative AI tools;LLM;LLMs;large language model;large language models,ai_activity;gen_ai,exact_key,5,0.794116,0.707671,,,
llm's,llm's,18,13,AI models;AI skills;AI solutions;AI tools;Generative AI models;Generative AI technologies;Generative AI technology;Generative AI tools;LLM;LLMs;generative artificial intelligence;large language model;large language models,ai_activity;ai_technology;ai_workforce;gen_ai,exact_key,1,0.777204,0.700695,,,
ai-driven,ai-driven,2791,13,AI capabilities;AI integration;AI solutions;AI technologies;AI technology;AI tools;Generative AI;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;generative artificial intelligence;machine learning;natural language processing,ai_activity;ai_methods;ai_technology;core_ai;gen_ai,exact_key,9,0.774076,0.706340,,,
text-to-image,text-to-image,16,13,AI application;AI model;AI models;GPT-3;GPT-4;Generative AI models;Generative AI technology;Generative AI tools;LLM;artificial intelligence technology;generative artificial intelligence;large language models;reinforcement learning,ai_methods;ai_technology;core_ai;gen_ai,exact_key,13,0.737531,0.676579,,,
