concept_group,seed_term,seed_key,seed_priority,query_status,neighbor_rank,neighbor_token,neighbor_term,similarity,neighbor_count
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,1,machine_learning,machine learning,0.925064,28913
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,2,artificial_intelligence_machine_learning,artificial intelligence machine learning,0.902828,767
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,3,ai,ai,0.867123,123783
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,4,ai_technology,ai technology,0.840443,2546
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,5,deep_learning,deep learning,0.839236,4131
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,6,ai_ml,ai ml,0.823278,1542
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,7,ai_technologies,ai technologies,0.821726,964
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,8,natural_language_processing,natural language processing,0.810298,1653
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,9,ai_capabilities,ai capabilities,0.807358,2400
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,10,cognitive_computing,cognitive computing,0.802353,325
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,11,predictive_analytics,predictive analytics,0.797828,4829
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,12,computer_vision,computer vision,0.794578,2989
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,13,ai-based,ai-based,0.789727,2295
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,14,generative_ai,generative ai,0.789160,12235
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,15,ai-enabled,ai-enabled,0.785959,1198
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,16,machine-learning,machine-learning,0.777107,498
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,17,artificial_intelligent,artificial intelligent,0.776349,151
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,18,machine_learning_algorithms,machine learning algorithms,0.775063,952
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,19,ai-driven,ai-driven,0.774076,2791
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,20,ai_tools,ai tools,0.772879,1086
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,21,analytics,analytics,0.763887,167362
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,22,artificial_intelligence_technology,artificial intelligence technology,0.757227,216
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,23,algorithms,algorithms,0.755527,23714
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,24,artificial_intelligence_technologies,artificial intelligence technologies,0.750986,110
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,25,large_language_models,large language models,0.750265,2463
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,26,artificial_intelligence_algorithms,artificial intelligence algorithms,0.749306,162
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,27,ai_solutions,ai solutions,0.748404,1129
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,28,ai-powered,ai-powered,0.744774,2339
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,29,robotic_process_automation,robotic process automation,0.741920,1378
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,30,aiml,aiml,0.741685,311
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,31,ai_models,ai models,0.740036,1592
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,32,image_recognition,image recognition,0.736904,586
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,33,generative_artificial_intelligence,generative artificial intelligence,0.734634,95
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,34,intelligent,intelligent,0.727632,39632
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,35,neural_networks,neural networks,0.722997,860
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,36,deep-learning,deep-learning,0.722282,76
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,37,machine_learning_et_cetera,machine learning et cetera,0.715173,60
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,38,artificial_intelligence_et_cetera,artificial intelligence et cetera,0.714161,60
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,39,ai_et_cetera,ai et cetera,0.712598,145
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,40,deep_learning-based,deep learning-based,0.711044,39
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,41,conversational_ai,conversational ai,0.707421,940
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,42,ai-assisted,ai-assisted,0.707274,195
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,43,artificial_intelligence_robotics,artificial intelligence robotics,0.706863,68
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,44,artificial_intelligence-based,artificial intelligence-based,0.706616,203
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,45,intelligence,intelligence,0.706547,68769
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,46,natural-language,natural-language,0.703020,11
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,47,ai_applications,ai applications,0.702880,1119
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,48,cutting-edge,cutting-edge,0.702416,10229
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,49,recommender_systems,recommender systems,0.698736,140
core_ai,artificial intelligence,artificial_intelligence,high,exact_key,50,gen_ai,gen ai,0.696571,2739
core_ai,AI,ai,medium,exact_key,1,generative_ai,generative ai,0.926600,12235
core_ai,AI,ai,medium,exact_key,2,ai_ml,ai ml,0.870965,1542
core_ai,AI,ai,medium,exact_key,3,gen_ai,gen ai,0.870554,2739
core_ai,AI,ai,medium,exact_key,4,artificial_intelligence,artificial intelligence,0.867123,24196
core_ai,AI,ai,medium,exact_key,5,machine_learning,machine learning,0.841611,28913
core_ai,AI,ai,medium,exact_key,6,large_language_models,large language models,0.841422,2463
core_ai,AI,ai,medium,exact_key,7,genai,genai,0.832634,1624
core_ai,AI,ai,medium,exact_key,8,artificial_intelligence_machine_learning,artificial intelligence machine learning,0.832199,767
core_ai,AI,ai,medium,exact_key,9,deep_learning,deep learning,0.830808,4131
core_ai,AI,ai,medium,exact_key,10,ai_capabilities,ai capabilities,0.830424,2400
core_ai,AI,ai,medium,exact_key,11,ai_applications,ai applications,0.816284,1119
core_ai,AI,ai,medium,exact_key,12,ai_technologies,ai technologies,0.816244,964
core_ai,AI,ai,medium,exact_key,13,ai_solutions,ai solutions,0.815972,1129
core_ai,AI,ai,medium,exact_key,14,ai_technology,ai technology,0.811030,2546
core_ai,AI,ai,medium,exact_key,15,ai-driven,ai-driven,0.785666,2791
core_ai,AI,ai,medium,exact_key,16,large_language_model,large language model,0.783304,1017
core_ai,AI,ai,medium,exact_key,17,llm,llm,0.783179,1302
core_ai,AI,ai,medium,exact_key,18,ai_tools,ai tools,0.781154,1086
core_ai,AI,ai,medium,exact_key,19,conversational_ai,conversational ai,0.780826,940
core_ai,AI,ai,medium,exact_key,20,aiml,aiml,0.777654,311
core_ai,AI,ai,medium,exact_key,21,ai_models,ai models,0.776662,1592
core_ai,AI,ai,medium,exact_key,22,llms,llms,0.775986,804
core_ai,AI,ai,medium,exact_key,23,ai-enabled,ai-enabled,0.772269,1198
core_ai,AI,ai,medium,exact_key,24,chatgpt,chatgpt,0.767481,3164
core_ai,AI,ai,medium,exact_key,25,generative_artificial_intelligence,generative artificial intelligence,0.765721,95
core_ai,AI,ai,medium,exact_key,26,recommendators,recommendators,0.764407,9
core_ai,AI,ai,medium,exact_key,27,computer_vision,computer vision,0.762878,2989
core_ai,AI,ai,medium,exact_key,28,ai_application,ai application,0.760001,387
core_ai,AI,ai,medium,exact_key,29,natural_language_processing,natural language processing,0.759821,1653
core_ai,AI,ai,medium,exact_key,30,ai-powered,ai-powered,0.753471,2339
core_ai,AI,ai,medium,exact_key,31,machine-learning,machine-learning,0.750860,498
core_ai,AI,ai,medium,exact_key,32,generative_ai_technologies,generative ai technologies,0.747499,71
core_ai,AI,ai,medium,exact_key,33,generative_ai_technology,generative ai technology,0.746942,143
core_ai,AI,ai,medium,exact_key,34,ai-based,ai-based,0.746814,2295
core_ai,AI,ai,medium,exact_key,35,cognitive_computing,cognitive computing,0.741552,325
core_ai,AI,ai,medium,exact_key,36,chatgpts,chatgpts,0.738429,13
core_ai,AI,ai,medium,exact_key,37,recommender_systems,recommender systems,0.736677,140
